blind_id,candidate_id,original_layer,citation,first_reviewer_source_label,first_reviewer_report_access,first_reviewer_decision,first_reviewer_reason
R231,E231,EXCLUDE,Claudia Corradino; Giuseppe Bilotta; Annalisa Cappello; Luigi Fortuna; Ciro Del Negro. Combining Radar and Optical Satellite Imagery with Machine Learning to Map Lava Flows at Mount Etna and Fogo Island. Energies. 2021. https://doi.org/10.3390/en14010197,Claudia Corradino; Giuseppe Bilotta; Annalisa Cappello; Luigi Fortuna; Ciro Del Negro,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Generic registration/change or unrelated application without an indispensable inference for stockpile metrology.
R232,E314,EXCLUDE,R. Naik; S. Singamaneni. Introduction: Bioinspired and Biomimetic Materials.. Chemical Reviews. 2017. https://doi.org/10.1021/acs.chemrev.7b00552,R,ABSTRACT/PREVIEW,EXCLUDE-OTHER,No stockpile-volume endpoint and no indispensable mobile/robotic measurement-chain contribution.
R233,E466,CORE,G. Saratsis; George Xiroudakis; G. Exadaktylos; Alexandros Papaconstantinou; Ilias Lazos. Use of UAV Images in 3D Modelling of Waste Material Stock-Piles in an Abandoned Mixed Sulphide Mine in Mathiatis—Cyprus. Mining. 2023. https://doi.org/10.3390/mining3010005,G,ABSTRACT/PREVIEW,DIRECT-EMPIRICAL,"Direct stockpile, bulk-pile, inventory-volume or repeated material-change measurement endpoint."
R234,E438,EXCLUDE,Merveille Eguida; Guillaume Bret; François Sindt; Fengling Li; Irene Chau; Suzanne Ackloo; C.H. Arrowsmith; Albina Bolotokova; Pegah Ghiabi; Elisa Gibson; Levon Halabelian; Scott Houliston; Rachel Harding; Ashley Hutchinson; P. Loppnau; Sumera Perveen; Almagul Seitova; Hong Zeng; Matthieu Schapira; Didier Rognan. Subpocket Similarity-Based Hit Identification for Challenging Targets: Application to the WDR Domain of LRRK2. Journal of Chemical Information and Modeling. 2024. https://doi.org/10.1021/acs.jcim.4c00601,Merveille Eguida; Guillaume Bret; François Sindt; Fengling Li; Irene Chau; Suzanne Ackloo; C,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Generic registration/change or unrelated application without an indispensable inference for stockpile metrology.
R235,E25,TRANSFER,"ANDERS K, WINIWARTER L, LINDENBERGH R, et al. 4D objects-by-change: Spatiotemporal segmentation of geomorphic surface change from LiDAR time series[J]. ISPRS J Photogramm Remote Sens, 2020, 159: 352-363. DOI: 10.1016/j.isprsjprs.2019.11.025.",Source material supplied in the blinded screening form.,FT,TRANSFER-METHOD,"Classification was based on the title, abstract, or report material supplied to the blinded reviewer."
R236,E350,EXCLUDE,Wenxia Dai; Hongyang Kan; Renchun Tan; Bisheng Yang; Qingfeng Guan; Ningning Zhu; Wen Xiao; Zhen Dong. Multisource forest point cloud registration with semantic-guided keypoints and robust RANSAC mechanisms. International Journal of Applied Earth Observation and Geoinformation. 2022. https://doi.org/10.1016/j.jag.2022.103105,Wenxia Dai; Hongyang Kan; Renchun Tan; Bisheng Yang; Qingfeng Guan; Ningning Zhu; Wen Xiao; Zhen Dong,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Generic registration/change or unrelated application without an indispensable inference for stockpile metrology.
R237,E146,EXCLUDE,Gil Elbaz; Tamar Avraham; Anath Fischer. 3D Point Cloud Registration for Localization Using a Deep Neural Network Auto-Encoder. [Venue unavailable]. 2017. https://doi.org/10.1109/cvpr.2017.265,Gil Elbaz; Tamar Avraham; Anath Fischer,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Generic registration/change or unrelated application without an indispensable inference for stockpile metrology.
R238,E123,CORE,"JAFARI F, DORAFSHAN S. Granular stockpile volume dataset[J]. *Data in Brief*, 2026, 66: 112631. DOI: 10.1016/j.dib.2026.112631.",Jafari 2026,DATA,DATA-RESOURCE,"Classification was based on the title, abstract, or report material supplied to the blinded reviewer."
R239,E284,TRANSFER,"Bernat Maud. Geodetic mass balance of Mýrdalsjökull ice cap, 1999−2021: DEM processing and climate analysis. Zenodo (CERN European Organization for Nuclear Research). 2022. https://doi.org/10.5281/zenodo.7058006",Bernat Maud,ABSTRACT/PREVIEW,TRANSFER-METHOD,"Empirical adjacent-domain evidence for registration, repeated mapping, change detection, calibration or uncertainty."
R240,E325,EXCLUDE,Haoang Li; Yixin Mai; Ming Gao; Jian-Chao He; Zhe Liu; Hesheng Wang. Large-Scale LiDAR-Based Loop Closing via Combination of Equivariance and Invariance on SE(3). IEEE/ASME Transactions on Mechatronics. 2025. https://doi.org/10.1109/tmech.2025.3547354,Haoang Li; Yixin Mai; Ming Gao; Jian-Chao He; Zhe Liu; Hesheng Wang,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Generic registration/change or unrelated application without an indispensable inference for stockpile metrology.
R241,E186,EXCLUDE,Chong Liu; Qi Zhang; Hui Luo; S. Qi; Shiqi Tao; Hanzeyu Xu; Yuan Yao. An efficient approach to capture continuous impervious surface dynamics using spatial-temporal rules and dense Landsat time series stacks. Remote Sensing of Environment. 2019. https://doi.org/10.1016/j.rse.2019.04.025,Chong Liu; Qi Zhang; Hui Luo; S,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Generic registration/change or unrelated application without an indispensable inference for stockpile metrology.
R242,E38,CORE,"MUHAMMED S T, ABED F M. SFM-UAV photogrammetry for effective automatic stockpile volume quantification[C]//AIP Conf Proc, 2024, 3203: 050035. DOI: 10.1063/5.0212212.",Muhammed 2024,ABSTRACT/PREVIEW,EXCLUDE-OVERLAP,"Classification was based on the title, abstract, or report material supplied to the blinded reviewer."
R243,E378,EXCLUDE,Lei Li; Jiale Gong; Ziyang Li; Hong Wang. Point-Cloud-Based Measurement and Compensation of Geometry-Dependent Errors in Knead Forming Deformation Manufacturing. SSRN Electronic Journal. 2026. https://doi.org/10.2139/ssrn.6830135,Lei Li; Jiale Gong; Ziyang Li; Hong Wang,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Generic registration/change or unrelated application without an indispensable inference for stockpile metrology.
R244,E369,CORE,Rahman Arif. PENERAPAN SISTEM TEKNOLOGI AUTOMATISASI GUNA MENUNJANG PROSES COAL SUPPLY CHAIN DI ROM STOCKPILE PT. ADARO INDONESIA. [Venue unavailable]. 2020. https://doi.org/10.36986/ptptp.v1i1.66,Rahman Arif,ABSTRACT/PREVIEW,DIRECT-EMPIRICAL,"Direct stockpile, bulk-pile, inventory-volume or repeated material-change measurement endpoint."
R245,E299,CORE,Yanu Agung Wicaksono; S.T. Catur Aries R. HITUNGAN VOLUME STOCKPILE BATUBARA DENGAN METODE FOTOGRAMETRI JARAK DEKAT. [Venue unavailable]. 2016.,Yanu Agung Wicaksono; S,ABSTRACT/PREVIEW,DIRECT-EMPIRICAL,"Direct stockpile, bulk-pile, inventory-volume or repeated material-change measurement endpoint."
R246,E352,CORE,Surya Sarat Chandra Congress; Anand J. Puppala. Novel Methodology of Using Aerial Close Range Photogrammetry Technology for Monitoring the Pavement Construction Projects. Airfield and Highway Pavements 2019. 2019. https://doi.org/10.1061/9780784482476.014,Surya Sarat Chandra Congress; Anand J,ABSTRACT/PREVIEW,DIRECT-EMPIRICAL,"Direct stockpile, bulk-pile, inventory-volume or repeated material-change measurement endpoint."
R247,E124,TRANSFER,"QIU Z, LIN D, LIU B, et al. LiDAR-based multi-modal UAV navigation dataset for robust benchmarking in complex-structured, GNSS-denied industrial environments[J]. *Drones*, 2026, 10(8): 611. DOI: 10.3390/drones10080611.",Source material supplied in the blinded screening form.,DATA,DATA-RESOURCE,"Classification was based on the title, abstract, or report material supplied to the blinded reviewer."
R248,E230,EXCLUDE,Dalin Jiang; Armando Marino; Maria Ionescu; Mamuka Gvilava; Zura Savaneli; Carlos Loureiro; Evangelos Spyrakos; Andrew N. Tyler; Adrian Stănică. Combining optical and SAR satellite data to monitor coastline changes in the Black Sea. ISPRS Journal of Photogrammetry and Remote Sensing. 2025. https://doi.org/10.1016/j.isprsjprs.2025.05.003,Dalin Jiang; Armando Marino; Maria Ionescu; Mamuka Gvilava; Zura Savaneli; Carlos Loureiro; Evangelos Spyrakos; Andrew N,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Generic registration/change or unrelated application without an indispensable inference for stockpile metrology.
R249,E46,TRANSFER,"RYDING J, WILLIAMS E, SMITH M, et al. Assessing Handheld Mobile Laser Scanners for Forest Surveys[J]. Remote Sensing, 2015, 7(1): 1095-1111. DOI: 10.3390/rs70101095.",Source material supplied in the blinded screening form.,FT,TRANSFER-METHOD,"Classification was based on the title, abstract, or report material supplied to the blinded reviewer."
R250,E269,CORE,Jieling Wu. Enhancing Quarry Management Using RTK-UAV LiDAR. [Venue unavailable]. 2025. https://doi.org/10.1109/r10-htc63995.2025.11394514,Jieling Wu,ABSTRACT/PREVIEW,DIRECT-EMPIRICAL,"Direct stockpile, bulk-pile, inventory-volume or repeated material-change measurement endpoint."
R251,E95,SUPPORT,"TRICCO A C, LILLIE E, ZARIN W, et al. PRISMA extension for scoping reviews (PRISMA-ScR): checklist and explanation[J]. *Annals of Internal Medicine*, 2018, 169(7): 467–473. DOI: 10.7326/M18-0850.","TRICCO A C, LILLIE E, ZARIN W, et al",ABSTRACT/PREVIEW,SUPPORT-BACKGROUND,"Foundational method, standard, metrology guide, or review-reporting source; retained outside the validation-study count."
R252,E12,SUPPORT,"BESL P J, MCKAY N D. A method for registration of 3-D shapes[J]. IEEE TPAMI, 1992, 14(2): 239-256. DOI: 10.1109/34.121791.","BESL P J, MCKAY N D",ABSTRACT/PREVIEW,SUPPORT-BACKGROUND,"Foundational method, standard, metrology guide, or review-reporting source; retained outside the validation-study count."
R253,E374,EXCLUDE,"Brewer, Mark Anthony. Planetary-Scale Autonomous Infrastructure: A Strategic Framework for Sovereign Sanctuary Deployment, Heritage Restoration, and Open-Science Ecosystems. Zenodo (CERN European Organization for Nuclear Research). 2025. https://doi.org/10.5281/zenodo.17661430","Brewer, Mark Anthony",ABSTRACT/PREVIEW,EXCLUDE-OTHER,No stockpile-volume endpoint and no indispensable mobile/robotic measurement-chain contribution.
R254,E461,TRANSFER,"A. Jalobeanu; Angela M. Kim; Scott C. Runyon; R. C. Olsen; Fred A. Kruse. Uncertainty assessment and probabilistic change detection using terrestrial and airborne lidar. Proceedings of SPIE, the International Society for Optical Engineering/Proceedings of SPIE. 2014. https://doi.org/10.1117/12.2049611",A,ABSTRACT/PREVIEW,TRANSFER-METHOD,"Empirical adjacent-domain evidence for registration, repeated mapping, change detection, calibration or uncertainty."
R255,E375,EXCLUDE,Michael Aye; Tom Ihro; Ganna Portyankina; Timothy I. Michaels; Megan E. Schwamb; Candice J. Hansen. Planet Four: Inter- and Intra-annual Variability of Dark Regolith on Ice Coverage at the Martian South Polar Region. [Venue unavailable]. 2026. https://doi.org/10.5194/egusphere-egu26-20832,Michael Aye; Tom Ihro; Ganna Portyankina; Timothy I,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Generic registration/change or unrelated application without an indispensable inference for stockpile metrology.
R256,E285,EXCLUDE,Xiangde Liu; Liu Qin. Geometric-aware cross-attention for robust LiDAR loop closure detection and point cloud registration. Conference on Optics and Machine Vision. 2026. https://doi.org/10.1117/12.3118129,Xiangde Liu; Liu Qin,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Generic registration/change or unrelated application without an indispensable inference for stockpile metrology.
R257,E313,CORE,"Daud Wahyu Imani; Mokhamad Nur Cahyadi; Imam Wahyu Farid; Ronny Mardianto. INTEGRATION ANALYSIS OF DRONE MULTI SENSOR-GNSS-LIDAR-CAMERA FOR 3D MAPPING (CASE STUDY: PT GARAM, PAMEKASAN, MADURA). Journal of Marine-Earth Science and Technology. 2023. https://doi.org/10.12962/j27745449.v4i1.699",Daud Wahyu Imani; Mokhamad Nur Cahyadi; Imam Wahyu Farid; Ronny Mardianto,ABSTRACT/PREVIEW,DIRECT-EMPIRICAL,"Direct stockpile, bulk-pile, inventory-volume or repeated material-change measurement endpoint."
R258,E103,TRANSFER,"TUOMISTO J, ZHENG Y, CHAUHAN I, SEPPÄNEN O, PAJARINEN J. Automating on-site object inspection with a quadruped robot and BIM[J]. *Automation in Construction*, 2026, 181: 106571. DOI: 10.1016/j.autcon.2025.106571.",Source material supplied in the blinded screening form.,FT,TRANSFER-METHOD,"Classification was based on the title, abstract, or report material supplied to the blinded reviewer."
R259,E163,EXCLUDE,Cathleen E. Jones; S. Hensley; T. Michel; R. Muellerschoen. Advanced Motion Compensation for Airborne Platforms: Application to UAVSAR. IEEE International Geoscience and Remote Sensing Symposium. 2010.,Cathleen E,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Generic registration/change or unrelated application without an indispensable inference for stockpile metrology.
R260,E377,EXCLUDE,"Joaquín M. C. Belart; Virginie Pinel. Pléiades co- and post-eruption survey in Cumbre Vieja volcano, La Palma, Spain. Zenodo (CERN European Organization for Nuclear Research). 2022. https://doi.org/10.5281/zenodo.5833771",Joaquín M,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Generic registration/change or unrelated application without an indispensable inference for stockpile metrology.
R261,E427,EXCLUDE,Antonio Vettore; Salvatore Ponte; Nicola Crocetto. Space-based surface change detection with differential Synthetic- Aperture Radar (SAR) Interferometry: potentialities and preliminary investigations. [Venue unavailable]. 2002.,Antonio Vettore; Salvatore Ponte; Nicola Crocetto,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Generic registration/change or unrelated application without an indispensable inference for stockpile metrology.
R262,E204,CORE,Muskan Sharma Kuinkel; Chengyi Zhang; Peng Liu; Khaled Ksaibati. Assessing the Feasibility of Utilizing UAVs and Laser Scanning for Quantifying Landfilled Fly Ash. [Venue unavailable]. 2024. https://doi.org/10.1061/9780784485224.040,Muskan Sharma Kuinkel; Chengyi Zhang; Peng Liu; Khaled Ksaibati,ABSTRACT/PREVIEW,DIRECT-EMPIRICAL,"Direct stockpile, bulk-pile, inventory-volume or repeated material-change measurement endpoint."
R263,E52,TRANSFER,"XU W, CAI Y, HE D, et al. FAST-LIO2: Fast Direct LiDAR-Inertial Odometry[J]. IEEE Transactions on Robotics, 2022, 38(4): 2053-2073. DOI: 10.1109/TRO.2022.3141876.",SLAM: FAST-LIO2,FT,TRANSFER-METHOD,"Classification was based on the title, abstract, or report material supplied to the blinded reviewer."
R264,E191,EXCLUDE,Fabio Pacifici; Fabio Del Frate; C. Solimini; William J. Emery. An Innovative Neural-Net Method to Detect Temporal Changes in High-Resolution Optical Satellite Imagery. IEEE Transactions on Geoscience and Remote Sensing. 2007. https://doi.org/10.1109/tgrs.2007.902824,Fabio Pacifici; Fabio Del Frate; C,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Generic registration/change or unrelated application without an indispensable inference for stockpile metrology.
R265,E82,CORE,"DAVIS D J A, GUY N S. An assessment of point cloud data acquisition techniques for aggregate stockpiles and volumetric surveys[C]. *ISPRS Archives*, 2023, XLVIII-M-3-2023: 65–69. DOI: 10.5194/isprs-archives-XLVIII-M-3-2023-65-2023.",Davis 2023,FT,DIRECT-EMPIRICAL,"Classification was based on the title, abstract, or report material supplied to the blinded reviewer."
R266,E447,CORE,"C. Melton; D. Hughes; D. Page; M. S. Phillips. Temporal multispectral and 3D analysis of Cerro de Pasco, Peru.. Science of the Total Environment. 2019. https://doi.org/10.1016/j.scitotenv.2019.135640",C,ABSTRACT/PREVIEW,DIRECT-EMPIRICAL,"Direct stockpile, bulk-pile, inventory-volume or repeated material-change measurement endpoint."
R267,E351,CORE,Anonymous. Near real-time stockpile volume calculations. [Venue unavailable]. 2017.,Anonymous,ABSTRACT/PREVIEW,DIRECT-EMPIRICAL,"Direct stockpile, bulk-pile, inventory-volume or repeated material-change measurement endpoint."
R268,E03,CORE,"SU C, LI Z, WEI Z, et al. A non-contact method for weighting of aggregate pile based on binocular vision[J]. Measurement and Control, 2024, 57(9): 1298-1312. DOI: 10.1177/00202940241238676.",Su 2024,FT,DIRECT-EMPIRICAL,"Classification was based on the title, abstract, or report material supplied to the blinded reviewer."
R269,E413,EXCLUDE,Sanam Akbar; Arzigul Ahat; Eksan Firkat; Askar Hamdulla. Robust Point Cloud Registration in Unstructured Environments: Evaluation of Feature and Keypoint Methods. 2026 5th International Conference on Electronics Technology and Artificial Intelligence (ETAI). 2026. https://doi.org/10.1109/etai68332.2026.11485409,Sanam Akbar; Arzigul Ahat; Eksan Firkat; Askar Hamdulla,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Generic registration/change or unrelated application without an indispensable inference for stockpile metrology.
R270,E139,CORE,"ATTIA T, ELSHABOURY N, HESHAM A, et al. Quantifying construction and demolition waste using SLAM-based mobile mapping system: A case study from Kafr El Sheikh, Egypt[C]//*2021 International Conference on Data Analytics for Business and Industry (ICDABI)*. 2021: 459–463. DOI: 10.1109/ICDABI53623.2021.9655946.",Attia et al. 2021,ABSTRACT/PREVIEW,ABSTRACT-ONLY,"Classification was based on the title, abstract, or report material supplied to the blinded reviewer."
R271,E143,TRANSFER,Jieun Baek; Junhyeok Park; Seongjun Cho; Chang Won Lee. 3D Global Localization in the Underground Mine Environment Using Mobile LiDAR Mapping and Point Cloud Registration. Sensors. 2022. https://doi.org/10.3390/s22082873,Jieun Baek; Junhyeok Park; Seongjun Cho; Chang Won Lee,ABSTRACT/PREVIEW,TRANSFER-METHOD,"Empirical adjacent-domain evidence for registration, repeated mapping, change detection, calibration or uncertainty."
R272,E101,TRANSFER,"CHANG W-Y, HUNG C-H, HUANG Z-X, CHANG H-J. Real-time mapping and planning intelligent paths using optical LiDAR and quadruped robot[C]. *ISPRS Archives*, 2026, XLIX-B1-2026: 383–388. DOI: 10.5194/isprs-archives-XLIX-B1-2026-383-2026.",Source material supplied in the blinded screening form.,FT,EXCLUDE-OTHER,"Classification was based on the title, abstract, or report material supplied to the blinded reviewer."
R273,E365,CORE,Ashwani Jaiswal; Nikhil Bugalia; Q. P. Ha. Optimizing Structure from Motion Parameters for Volume Estimation of Construction and Demolition Waste. Proceedings of the ... ISARC. 2025. https://doi.org/10.22260/isarc2025/0127,Ashwani Jaiswal; Nikhil Bugalia; Q,ABSTRACT/PREVIEW,DIRECT-EMPIRICAL,"Direct stockpile, bulk-pile, inventory-volume or repeated material-change measurement endpoint."
R274,E108,TRANSFER,"YANG L, PRAKHYA S M, ZHU S, LIU Z. Lifelong 3D mapping framework for hand-held and robot-mounted LiDAR mapping systems[Preprint]. arXiv:2501.18110, 2025.",Source material supplied in the blinded screening form.,FT,TRANSFER-METHOD,"Classification was based on the title, abstract, or report material supplied to the blinded reviewer."
R275,E171,EXCLUDE,Grace Wahba. A Least Squares Estimate of Satellite Attitude. SIAM Review. 1965. https://doi.org/10.1137/1007077,Grace Wahba,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Generic registration/change or unrelated application without an indispensable inference for stockpile metrology.
R276,E145,TRANSFER,Heonmoo Kim; Yosoon Choi. 3D location estimation and tunnel mapping of autonomous driving robots through 3D point cloud registration on underground mine rampways. Underground Space. 2025. https://doi.org/10.1016/j.undsp.2024.10.003,Heonmoo Kim; Yosoon Choi,ABSTRACT/PREVIEW,TRANSFER-METHOD,"Empirical adjacent-domain evidence for registration, repeated mapping, change detection, calibration or uncertainty."
R277,E105,TRANSFER,"CHENG J, et al. A hybrid-dimensional laser SLAM framework for indoor quadruped inspection robots[J]. *IEEE Sensors Journal*, 2024, 24(10): 16935–16942. DOI: 10.1109/JSEN.2024.3382336.",Source material supplied in the blinded screening form.,NOT-RETRIEVED,NOT-RETRIEVED,"Classification was based on the title, abstract, or report material supplied to the blinded reviewer."
R278,E144,TRANSFER,Elizabeth R. Boroson; Nora Ayanian. 3D Keypoint Repeatability for Heterogeneous Multi-Robot SLAM. [Venue unavailable]. 2019. https://doi.org/10.1109/icra.2019.8793609,Elizabeth R,ABSTRACT/PREVIEW,TRANSFER-METHOD,"Empirical adjacent-domain evidence for registration, repeated mapping, change detection, calibration or uncertainty."
R279,E100,CORE,"AB RAHMAN A A, ABDUL-MAULUD K N, MOHD F A, et al. Volumetric calculation using low cost unmanned aerial vehicle approach[C]. *IOP Conference Series: Materials Science and Engineering*, 2017, 270: 012032. DOI: 10.1088/1757-899X/270/1/012032.",Ab Rahman 2017,FT,MOVE-SUPPORT,"Classification was based on the title, abstract, or report material supplied to the blinded reviewer."
R280,E32,TRANSFER,"PINGEL T J, CLARKE K C, MCBRIDE W A. An improved simple morphological filter for the terrain classification of airborne LIDAR data[J]. ISPRS J Photogramm Remote Sens, 2013, 77: 21-30. DOI: 10.1016/j.isprsjprs.2012.12.002.",Source material supplied in the blinded screening form.,FT,TRANSFER-METHOD,"Classification was based on the title, abstract, or report material supplied to the blinded reviewer."
R281,E291,EXCLUDE,Loke Kok Foong; Ali Jamali; Zongjie Lyu. Ground surface changes detection using interferometric synthetic aperture radar. Smart Structures and Systems. 2020. https://doi.org/10.12989/sss.2020.26.3.277,Loke Kok Foong; Ali Jamali; Zongjie Lyu,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Generic registration/change or unrelated application without an indispensable inference for stockpile metrology.
R282,E480,EXCLUDE,Xu YiBo; Xijun Lai; Chunguo Zhou. Water surface change detection and analysis of bottomland submersion-emersion of wetlands in Poyang Lake Reserve using ENVISAT ASAR data.. China Environmental Science. 2010.,Xu YiBo; Xijun Lai; Chunguo Zhou,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Generic registration/change or unrelated application without an indispensable inference for stockpile metrology.
R283,E310,EXCLUDE,Lian Liu; Lizhi Hu; Zhou Wu. Indoor Decoration Robot Localization Method Based on Building Information Modeling. Communications in computer and information science. 2025. https://doi.org/10.1007/978-981-95-3736-5_14,Lian Liu; Lizhi Hu; Zhou Wu,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Generic registration/change or unrelated application without an indispensable inference for stockpile metrology.
R284,E153,TRANSFER,Ryan Kromer; Antonio Abellán; D. Jean Hutchinson; Matt Lato; Tom Edwards; Michel Jaboyedoff. A 4D Filtering and Calibration Technique for Small-Scale Point Cloud Change Detection with a Terrestrial Laser Scanner. Remote Sensing. 2015. https://doi.org/10.3390/rs71013029,Ryan Kromer; Antonio Abellán; D,ABSTRACT/PREVIEW,TRANSFER-METHOD,"Empirical adjacent-domain evidence for registration, repeated mapping, change detection, calibration or uncertainty."
R285,E384,TRANSFER,"A. Jalobeanu; Cristina Gama; José Alberto Gonçalves. Probabilistic surface change detection and measurement from digital aerial stereo images. Portuguese National Funding Agency for Science, Research and Technology (RCAAP Project by FCT). 2010.",A,ABSTRACT/PREVIEW,TRANSFER-METHOD,"Empirical adjacent-domain evidence for registration, repeated mapping, change detection, calibration or uncertainty."
R286,E174,EXCLUDE,"Hao Chen; Takuya Kiyokawa; Zhengtao Hu; Weiwei Wan; Kensuke Harada. A Multilevel Similarity Approach for Single-View Object Grasping: Matching, Planning, and Fine-Tuning. IEEE Transactions on robotics. 2025. https://doi.org/10.1109/tro.2025.3588720",Hao Chen; Takuya Kiyokawa; Zhengtao Hu; Weiwei Wan; Kensuke Harada,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Generic registration/change or unrelated application without an indispensable inference for stockpile metrology.
R287,E372,CORE,Sabet Ati Gunung; Fajrin Fajrin. Perbandingan Volume Stock Batubara dengan Metode Pengukuran Menggunakan Laser Scanner Leica Ms60 dan Drone Dji Matrice 4e Studi Kasus di PT. XYZ. JURAL RISET RUMPUN ILMU TEKNIK. 2026. https://doi.org/10.55606/jurritek.v5i2.8525,Sabet Ati Gunung; Fajrin Fajrin,ABSTRACT/PREVIEW,DIRECT-EMPIRICAL,"Direct stockpile, bulk-pile, inventory-volume or repeated material-change measurement endpoint."
R288,E469,EXCLUDE,Felicia Edholm; Sofie Classon. Utvärdering av terrester laserskanning som metod vid exteriör dokumentation av Hälsingegårdar. DiVA (University of Gävle). 2017.,Felicia Edholm; Sofie Classon,ABSTRACT/PREVIEW,EXCLUDE-OTHER,Generic registration/change or unrelated application without an indispensable inference for stockpile metrology.
R289,E157,CORE,Jianjun Zhu; Jian Yang; Jingfan Fan; Danni Ai; Yurong Jiang; Hong Song; Yongtian Wang. Accurate measurement of granary stockpile volume based on fast registration of multi-station scans. Remote Sensing Letters. 2018. https://doi.org/10.1080/2150704x.2018.1452060,Jianjun Zhu; Jian Yang; Jingfan Fan; Danni Ai; Yurong Jiang; Hong Song; Yongtian Wang,ABSTRACT/PREVIEW,DIRECT-EMPIRICAL,"Direct stockpile, bulk-pile, inventory-volume or repeated material-change measurement endpoint."
R290,E339,CORE,Hazida Binti Hamzah; Shaharuddin Mohd. Said. Measuring volume of stockpile using imaging station. [Venue unavailable]. 2011.,Hazida Binti Hamzah; Shaharuddin Mohd,ABSTRACT/PREVIEW,DIRECT-EMPIRICAL,"Direct stockpile, bulk-pile, inventory-volume or repeated material-change measurement endpoint."
R291,E16,SUPPORT,"RUSINKIEWICZ S, LEVOY M. Efficient variants of the ICP algorithm[C]//Proc Third Int Conf on 3-D Digital Imaging and Modeling (3DIM). 2001: 145-152. DOI: 10.1109/IM.2001.924423.","RUSINKIEWICZ S, LEVOY M",ABSTRACT/PREVIEW,SUPPORT-BACKGROUND,"Foundational method, standard, metrology guide, or review-reporting source; retained outside the validation-study count."
R292,E326,TRANSFER,Filipe Mutz; Lucas P. Veronese; Thiago Oliveira-Santos; Edilson de Aguiar; Fernando Auat Cheein; Alberto F. De Souza. Large-scale mapping in complex field scenarios using an autonomous car. Expert Systems with Applications. 2015. https://doi.org/10.1016/j.eswa.2015.10.045,Filipe Mutz; Lucas P,ABSTRACT/PREVIEW,TRANSFER-METHOD,"Empirical adjacent-domain evidence for registration, repeated mapping, change detection, calibration or uncertainty."
R293,E406,TRANSFER,Hanbiao Xiao; Jie Meng; Zhaozheng Hu; H. Tan. Robot-Grabber Cooperative Localization under Highly Dynamic Clearing Operation of Bulk Carriers. [Venue unavailable]. 2024. https://doi.org/10.1109/iv55156.2024.10588819,Hanbiao Xiao; Jie Meng; Zhaozheng Hu; H,ABSTRACT/PREVIEW,TRANSFER-METHOD,"Adjacent acquisition, calibration, localization or change evidence relevant to the target measurement chain."
R294,E273,CORE,Bhanu Pratap Patel; Ashish Gupta; Pushparaj Mani Pathak. Estimating Stockpile Volume Using Drone Photography: A Marker-Based Approach. [Venue unavailable]. 2025. https://doi.org/10.1109/mpseciceta64837.2025.11118331,Bhanu Pratap Patel; Ashish Gupta; Pushparaj Mani Pathak,ABSTRACT/PREVIEW,DIRECT-EMPIRICAL,"Direct stockpile, bulk-pile, inventory-volume or repeated material-change measurement endpoint."
R295,E267,CORE,Ahmad Alsayed; Mostafa R. A. Nabawy; Akilu Yunusa‐Kaltungo; Farshad Arvin; Mark K. Quinn. Enhancing 1D LiDAR Scanning for Accurate Stockpile Volume Estimation Within Drone-Based Mapping Systems. AIAA AVIATION 2021 FORUM. 2021. https://doi.org/10.2514/6.2021-3213,Ahmad Alsayed; Mostafa R,ABSTRACT/PREVIEW,DIRECT-EMPIRICAL,"Direct stockpile, bulk-pile, inventory-volume or repeated material-change measurement endpoint."
R296,E247,TRANSFER,Jiangyong Pu; Qinglei Yu; Yong Zhao; Zefei Li; Yongsheng Cao; Zhihua Le; Zhengming Yang; Xu Li. Deformation Analysis of a Roadway Tunnel in Soft Swelling Rock Mass Based on 3D Mobile Laser Scanning. Rock Mechanics and Rock Engineering. 2024. https://doi.org/10.1007/s00603-024-03772-2,Jiangyong Pu; Qinglei Yu; Yong Zhao; Zefei Li; Yongsheng Cao; Zhihua Le; Zhengming Yang; Xu Li,ABSTRACT/PREVIEW,TRANSFER-METHOD,"Empirical adjacent-domain evidence for registration, repeated mapping, change detection, calibration or uncertainty."
